candidate_id,stage,stage_date
C00049,Applied,2024-10-21
C00049,HR Interview,2024-10-27
C00049,Tech Interview,2024-11-06
C00049,Offer,2024-11-16
C00049,Rejected,2024-11-20
C00050,Applied,2025-03-23
C00050,HR Interview,2025-03-24
C00050,Tech Interview,2025-03-29
C00050,Rejected,2025-04-02
C00051,Applied,2024-08-16
C00051,HR Interview,2024-08-22
C00051,Tech Interview,2024-09-02
C00051,Offer,2024-09-12
C00051,Rejected,2024-09-20
C00052,Applied,2024-01-03
C00052,HR Interview,2024-01-07
C00052,Tech Interview,2024-01-16
C00052,Rejected,2024-01-19
C00053,Applied,2024-09-25
C00053,Rejected,2024-09-26
C00054,Applied,2025-08-16
C00054,HR Interview,2025-08-24
C00054,Tech Interview,2025-08-28
C00054,Rejected,2025-08-31
C00055,Applied,2024-05-18
C00055,Rejected,2024-05-21
C00056,Applied,2024-09-07
C00056,HR Interview,2024-09-11
C00056,Tech Interview,2024-09-23
C00056,Offer,2024-10-01
C00056,Rejected,2024-10-09
C00057,Applied,2024-09-15
C00057,Rejected,2024-09-17
C00058,Applied,2025-03-06
C00058,HR Interview,2025-03-09
C00058,Tech Interview,2025-03-15
C00058,Offer,2025-03-23
C00058,Hired,2025-03-27
C00059,Applied,2024-04-05
C00059,HR Interview,2024-04-14
C00059,Tech Interview,2024-04-24
C00059,Offer,2024-05-05
C00059,Hired,2024-05-14
C00060,Applied,2024-05-07
C00060,HR Interview,2024-05-12
C00060,Tech Interview,2024-05-21
C00060,Offer,2024-05-31
C00060,Rejected,2024-06-05
C00061,Applied,2024-05-15
C00061,HR Interview,2024-05-22
C00061,Tech Interview,2024-05-29
C00061,Rejected,2024-06-02
C00062,Applied,2024-03-12
C00062,Rejected,2024-03-15
C00063,Applied,2025-05-20
C00063,HR Interview,2025-05-26
C00063,Rejected,2025-05-31
C00064,Applied,2025-10-08
C00064,HR Interview,2025-10-15
C00064,Tech Interview,2025-10-24
C00064,Offer,2025-10-26
C00064,Rejected,2025-10-28
C00065,Applied,2024-12-12
C00065,Rejected,2024-12-14
C00066,Applied,2025-02-05
C00066,Rejected,2025-02-08
C00067,Applied,2025-06-02
C00067,HR Interview,2025-06-08
C00067,Rejected,2025-06-11
C00068,Applied,2024-10-05
C00068,Rejected,2024-10-06
C00069,Applied,2024-11-12
C00069,HR Interview,2024-11-20
C00069,Rejected,2024-11-23
C00070,Applied,2025-01-29
C00070,Rejected,2025-01-31
C00071,Applied,2024-07-23
C00071,HR Interview,2024-07-27
C00071,Rejected,2024-07-30
C00072,Applied,2024-02-11
C00072,HR Interview,2024-02-19
C00072,Rejected,2024-02-20
C00073,Applied,2025-01-15
C00073,Rejected,2025-01-17
C00074,Applied,2025-07-04
C00074,Rejected,2025-07-07
C00075,Applied,2024-10-03
C00075,Rejected,2024-10-04
C00076,Applied,2025-01-03
C00076,HR Interview,2025-01-10
C00076,Rejected,2025-01-12
C00077,Applied,2024-06-25
C00077,HR Interview,2024-07-02
C00077,Rejected,2024-07-05
C00078,Applied,2025-06-23
C00078,HR Interview,2025-06-26
C00078,Rejected,2025-06-30
C00079,Applied,2024-12-04
C00079,HR Interview,2024-12-09
C00079,Tech Interview,2024-12-11
C00079,Offer,2024-12-17
C00079,Rejected,2024-12-20
C00080,Applied,2024-12-24
C00080,Rejected,2024-12-28
C00081,Applied,2024-10-07
C00081,HR Interview,2024-10-13
C00081,Tech Interview,2024-10-24
C00081,Offer,2024-11-02
C00081,Hired,2024-11-08
C00082,Applied,2024-07-04
C00082,Rejected,2024-07-05
C00083,Applied,2025-04-23
C00083,HR Interview,2025-04-27
C00083,Tech Interview,2025-05-05
C00083,Rejected,2025-05-11
C00084,Applied,2025-09-15
C00084,Rejected,2025-09-18
C00085,Applied,2024-03-17
C00085,Rejected,2024-03-20
C00086,Applied,2025-10-15
C00086,HR Interview,2025-10-17
C00086,Tech Interview,2025-10-23
C00086,Rejected,2025-10-28
C00087,Applied,2025-03-16
C00087,HR Interview,2025-03-22
C00087,Rejected,2025-03-26
C00088,Applied,2024-10-24
C00088,Rejected,2024-10-25
C00089,Applied,2024-10-20
C00089,HR Interview,2024-10-24
C00089,Tech Interview,2024-11-03
C00089,Rejected,2024-11-06
C00090,Applied,2024-02-04
C00090,HR Interview,2024-02-09
C00090,Tech Interview,2024-02-11
C00090,Rejected,2024-02-14
C00091,Applied,2024-10-05
C00091,HR Interview,2024-10-12
C00091,Tech Interview,2024-10-17
C00091,Rejected,2024-10-22
C00092,Applied,2025-09-21
C00092,HR Interview,2025-09-27
C00092,Rejected,2025-10-01
C00093,Applied,2025-09-01
C00093,HR Interview,2025-09-05
C00093,Tech Interview,2025-09-14
C00093,Offer,2025-09-25
C00093,Rejected,2025-09-28
C00094,Applied,2024-08-22
C00094,HR Interview,2024-08-23
C00094,Tech Interview,2024-08-31
C00094,Offer,2024-09-09
C00094,Rejected,2024-09-17
C00095,Applied,2024-06-07
C00095,HR Interview,2024-06-11
C00095,Tech Interview,2024-06-22
C00095,Offer,2024-07-07
C00095,Hired,2024-07-14
C00096,Applied,2024-09-17
C00096,Rejected,2024-09-20
C00097,Applied,2024-07-01
C00097,HR Interview,2024-07-06
C00097,Tech Interview,2024-07-12
C00097,Offer,2024-07-19
C00097,Rejected,2024-07-26
C00098,Applied,2024-06-14
C00098,Rejected,2024-06-16
C00099,Applied,2024-10-15
C00099,Rejected,2024-10-20
C00100,Applied,2025-07-29
C00100,HR Interview,2025-08-05
C00100,Rejected,2025-08-09
C00101,Applied,2025-05-26
C00101,Rejected,2025-05-29
C00102,Applied,2024-07-18
C00102,Rejected,2024-07-21
C00103,Applied,2025-09-23
C00103,HR Interview,2025-09-30
C00103,Tech Interview,2025-10-14
C00103,Offer,2025-10-17
C00103,Rejected,2025-10-18
C00104,Applied,2024-05-20
C00104,HR Interview,2024-05-23
C00104,Tech Interview,2024-05-29
C00104,Rejected,2024-06-03
C00105,Applied,2025-09-08
C00105,Rejected,2025-09-10
C00106,Applied,2024-09-05
C00106,Rejected,2024-09-06
C00107,Applied,2024-12-27
C00107,HR Interview,2025-01-02
C00107,Rejected,2025-01-03
C00108,Applied,2024-05-16
C00108,HR Interview,2024-05-18
C00108,Rejected,2024-05-24
C00109,Applied,2025-05-25
C00109,HR Interview,2025-05-28
C00109,Tech Interview,2025-06-01
C00109,Offer,2025-06-15
C00109,Hired,2025-06-21
C00110,Applied,2024-07-31
C00110,Rejected,2024-08-03
C00111,Applied,2025-08-07
C00111,HR Interview,2025-08-13
C00111,Tech Interview,2025-08-18
C00111,Offer,2025-08-25
C00111,Hired,2025-08-26
C00112,Applied,2024-02-25
C00112,HR Interview,2024-02-29
C00112,Rejected,2024-03-03
C00113,Applied,2024-12-02
C00113,HR Interview,2024-12-08
C00113,Rejected,2024-12-10
C00114,Applied,2024-04-16
C00114,Rejected,2024-04-17
C00115,Applied,2024-09-04
C00115,Rejected,2024-09-05
C00116,Applied,2024-10-06
C00116,Rejected,2024-10-09
C00117,Applied,2025-03-27
C00117,Rejected,2025-03-28
C00118,Applied,2025-08-12
C00118,Rejected,2025-08-13
C00119,Applied,2024-12-24
C00119,HR Interview,2024-12-25
C00119,Tech Interview,2025-01-01
C00119,Offer,2025-01-12
C00119,Rejected,2025-01-20
C00120,Applied,2024-02-08
C00120,Rejected,2024-02-10
C00121,Applied,2024-05-27
C00121,Rejected,2024-06-01
C00122,Applied,2024-05-22
C00122,HR Interview,2024-05-27
C00122,Tech Interview,2024-06-07
C00122,Offer,2024-06-20
C00122,Rejected,2024-06-24
C00123,Applied,2025-09-04
C00123,HR Interview,2025-09-09
C00123,Tech Interview,2025-09-17
C00123,Offer,2025-09-26
C00123,Rejected,2025-09-29
C00124,Applied,2024-10-16
C00124,HR Interview,2024-10-24
C00124,Tech Interview,2024-10-28
C00124,Rejected,2024-11-02
C00125,Applied,2025-01-25
C00125,HR Interview,2025-01-29
C00125,Rejected,2025-01-30
C00126,Applied,2025-08-19
C00126,Rejected,2025-08-23
C00127,Applied,2025-10-19
C00127,HR Interview,2025-10-26
C00127,Tech Interview,2025-11-08
C00127,Offer,2025-11-26
C00127,Rejected,2025-12-02
C00128,Applied,2025-03-31
C00128,HR Interview,2025-04-07
C00128,Rejected,2025-04-11
C00129,Applied,2024-09-19
C00129,HR Interview,2024-09-25
C00129,Tech Interview,2024-10-06
C00129,Rejected,2024-10-08
C00130,Applied,2024-06-10
C00130,HR Interview,2024-06-16
C00130,Tech Interview,2024-06-27
C00130,Rejected,2024-07-02
C00131,Applied,2024-01-24
C00131,Rejected,2024-01-26
C00132,Applied,2024-10-08
C00132,Rejected,2024-10-09
C00133,Applied,2025-10-16
C00133,HR Interview,2025-10-21
C00133,Tech Interview,2025-11-03
C00133,Offer,2025-11-17
C00133,Rejected,2025-11-25
C00134,Applied,2024-05-21
C00134,HR Interview,2024-05-27
C00134,Rejected,2024-06-02
C00135,Applied,2024-08-11
C00135,Rejected,2024-08-12
C00136,Applied,2024-01-02
C00136,HR Interview,2024-01-06
C00136,Tech Interview,2024-01-13
C00136,Offer,2024-01-27
C00136,Hired,2024-02-03
C00137,Applied,2025-01-10
C00137,Rejected,2025-01-11
C00138,Applied,2024-10-23
C00138,Rejected,2024-10-27
C00139,Applied,2024-03-12
C00139,Rejected,2024-03-15
C00140,Applied,2025-01-20
C00140,Rejected,2025-01-21
C00141,Applied,2025-10-02
C00141,HR Interview,2025-10-06
C00141,Rejected,2025-10-11
C00142,Applied,2025-10-03
C00142,HR Interview,2025-10-09
C00142,Rejected,2025-10-15
C00143,Applied,2025-07-20
C00143,HR Interview,2025-07-29
C00143,Tech Interview,2025-08-10
C00143,Offer,2025-08-19
C00143,Hired,2025-08-24
C00144,Applied,2025-02-13
C00144,HR Interview,2025-02-16
C00144,Rejected,2025-02-20
C00145,Applied,2025-05-10
C00145,Rejected,2025-05-11
C00146,Applied,2024-07-17
C00146,HR Interview,2024-07-21
C00146,Tech Interview,2024-07-29
C00146,Offer,2024-08-07
C00146,Hired,2024-08-14
C00147,Applied,2024-01-25
C00147,HR Interview,2024-01-31
C00147,Tech Interview,2024-02-09
C00147,Offer,2024-02-18
C00147,Rejected,2024-02-23
C00148,Applied,2024-08-19
C00148,HR Interview,2024-08-25
C00148,Tech Interview,2024-09-01
C00148,Rejected,2024-09-04
C00149,Applied,2025-09-11
C00149,Rejected,2025-09-13
C00150,Applied,2025-06-13
C00150,Rejected,2025-06-15
C00151,Applied,2025-10-23
C00151,Rejected,2025-10-25
C00152,Applied,2024-01-02
C00152,HR Interview,2024-01-04
C00152,Tech Interview,2024-01-17
C00152,Offer,2024-01-22
C00152,Rejected,2024-01-29
C00153,Applied,2024-09-07
C00153,HR Interview,2024-09-11
C00153,Rejected,2024-09-12
C00154,Applied,2025-10-26
C00154,HR Interview,2025-11-03
C00154,Tech Interview,2025-11-09
C00154,Offer,2025-11-25
C00154,Rejected,2025-11-29
C00155,Applied,2025-09-11
C00155,HR Interview,2025-09-17
C00155,Rejected,2025-09-22
C00156,Applied,2025-01-17
C00156,Rejected,2025-01-20
C00157,Applied,2024-07-18
C00157,Rejected,2024-07-21
C00158,Applied,2024-07-05
C00158,Rejected,2024-07-06
C00159,Applied,2025-08-10
C00159,Rejected,2025-08-13
C00160,Applied,2024-02-05
C00160,Rejected,2024-02-06
C00161,Applied,2024-02-11
C00161,Rejected,2024-02-12
C00162,Applied,2025-05-09
C00162,HR Interview,2025-05-18
C00162,Tech Interview,2025-05-27
C00162,Offer,2025-06-08
C00162,Rejected,2025-06-12
C00163,Applied,2024-01-01
C00163,HR Interview,2024-01-06
C00163,Tech Interview,2024-01-14
C00163,Offer,2024-01-25
C00163,Hired,2024-02-03
C00164,Applied,2024-04-24
C00164,Rejected,2024-04-27
C00165,Applied,2025-10-25
C00165,Rejected,2025-10-28
C00166,Applied,2025-09-21
C00166,Rejected,2025-09-24
C00167,Applied,2025-05-02
C00167,HR Interview,2025-05-05
C00167,Tech Interview,2025-05-16
C00167,Offer,2025-05-24
C00167,Hired,2025-06-01
C00168,Applied,2024-11-22
C00168,HR Interview,2024-12-01
C00168,Rejected,2024-12-03
C00169,Applied,2024-09-18
C00169,HR Interview,2024-09-22
C00169,Tech Interview,2024-09-29
C00169,Offer,2024-10-14
C00169,Hired,2024-10-19
C00170,Applied,2024-05-03
C00170,HR Interview,2024-05-10
C00170,Tech Interview,2024-05-15
C00170,Offer,2024-05-29
C00170,Hired,2024-06-01
C00171,Applied,2025-05-24
C00171,HR Interview,2025-05-28
C00171,Tech Interview,2025-06-05
C00171,Rejected,2025-06-09
C00172,Applied,2024-09-15
C00172,Rejected,2024-09-17
C00173,Applied,2025-02-02
C00173,HR Interview,2025-02-03
C00173,Rejected,2025-02-04
C00174,Applied,2025-01-03
C00174,HR Interview,2025-01-10
C00174,Tech Interview,2025-01-14
C00174,Offer,2025-02-01
C00174,Hired,2025-02-12
C00175,Applied,2024-09-05
C00175,HR Interview,2024-09-12
C00175,Tech Interview,2024-09-19
C00175,Offer,2024-10-03
C00175,Hired,2024-10-08
C00176,Applied,2024-09-12
C00176,HR Interview,2024-09-20
C00176,Tech Interview,2024-10-02
C00176,Offer,2024-10-12
C00176,Rejected,2024-10-14
C00177,Applied,2025-02-09
C00177,HR Interview,2025-02-10
C00177,Tech Interview,2025-02-19
C00177,Offer,2025-02-28
C00177,Rejected,2025-03-08
C00178,Applied,2024-10-22
C00178,Rejected,2024-10-23
C00179,Applied,2024-08-22
C00179,Rejected,2024-08-23
C00180,Applied,2024-01-25
C00180,HR Interview,2024-02-02
C00180,Tech Interview,2024-02-10
C00180,Offer,2024-02-22
C00180,Hired,2024-03-03
C00181,Applied,2025-04-04
C00181,HR Interview,2025-04-12
C00181,Tech Interview,2025-04-16
C00181,Rejected,2025-04-22
C00182,Applied,2024-01-27
C00182,HR Interview,2024-01-31
C00182,Tech Interview,2024-02-08
C00182,Rejected,2024-02-10
C00183,Applied,2024-06-07
C00183,Rejected,2024-06-08
C00184,Applied,2025-02-06
C00184,Rejected,2025-02-07
C00185,Applied,2025-02-21
C00185,Rejected,2025-02-25
C00186,Applied,2024-03-02
C00186,HR Interview,2024-03-08
C00186,Tech Interview,2024-03-19
C00186,Offer,2024-04-01
C00186,Rejected,2024-04-08
C00187,Applied,2025-06-11
C00187,HR Interview,2025-06-15
C00187,Tech Interview,2025-06-23
C00187,Offer,2025-07-01
C00187,Rejected,2025-07-09
C00188,Applied,2024-10-13
C00188,Rejected,2024-10-15
C00189,Applied,2024-06-08
C00189,Rejected,2024-06-09
C00190,Applied,2025-05-18
C00190,HR Interview,2025-05-26
C00190,Tech Interview,2025-06-08
C00190,Rejected,2025-06-09
C00191,Applied,2024-09-23
C00191,Rejected,2024-09-25
C00192,Applied,2024-10-10
C00192,HR Interview,2024-10-15
C00192,Tech Interview,2024-10-25
C00192,Offer,2024-11-01
C00192,Rejected,2024-11-07
C00193,Applied,2024-07-08
C00193,HR Interview,2024-07-14
C00193,Tech Interview,2024-07-20
C00193,Offer,2024-07-26
C00193,Rejected,2024-07-31
C00194,Applied,2024-07-19
C00194,Rejected,2024-07-21
C00195,Applied,2025-02-01
C00195,Rejected,2025-02-03
C00196,Applied,2024-02-01
C00196,Rejected,2024-02-04
C00197,Applied,2025-01-21
C00197,Rejected,2025-01-25
C00198,Applied,2024-01-17
C00198,Rejected,2024-01-18
C00199,Applied,2024-09-02
C00199,Rejected,2024-09-03
C00200,Applied,2024-10-15
C00200,HR Interview,2024-10-20
C00200,Tech Interview,2024-10-28
C00200,Offer,2024-11-06
C00200,Rejected,2024-11-09
C00201,Applied,2025-05-14
C00201,HR Interview,2025-05-18
C00201,Tech Interview,2025-05-27
C00201,Offer,2025-06-06
C00201,Rejected,2025-06-12
C00202,Applied,2025-08-14
C00202,HR Interview,2025-08-21
C00202,Rejected,2025-08-28
C00203,Applied,2025-01-17
C00203,HR Interview,2025-01-25
C00203,Tech Interview,2025-02-02
C00203,Offer,2025-02-14
C00203,Rejected,2025-02-23
C00204,Applied,2024-06-12
C00204,Rejected,2024-06-15
C00205,Applied,2024-10-09
C00205,Rejected,2024-10-10
C00206,Applied,2025-01-19
C00206,HR Interview,2025-01-26
C00206,Tech Interview,2025-02-07
C00206,Offer,2025-02-16
C00206,Hired,2025-02-23
C00207,Applied,2025-10-23
C00207,Rejected,2025-10-24
C00208,Applied,2025-04-03
C00208,Rejected,2025-04-04
C00209,Applied,2024-12-26
C00209,HR Interview,2024-12-30
C00209,Rejected,2024-12-31
C00210,Applied,2024-01-17
C00210,HR Interview,2024-01-22
C00210,Tech Interview,2024-02-02
C00210,Offer,2024-02-14
C00210,Rejected,2024-02-17
C00211,Applied,2024-02-24
C00211,HR Interview,2024-02-29
C00211,Tech Interview,2024-03-07
C00211,Rejected,2024-03-12
C00212,Applied,2024-09-15
C00212,HR Interview,2024-09-19
C00212,Tech Interview,2024-09-26
C00212,Offer,2024-10-10
C00212,Rejected,2024-10-13
C00213,Applied,2025-03-18
C00213,HR Interview,2025-03-21
C00213,Tech Interview,2025-03-27
C00213,Offer,2025-04-06
C00213,Rejected,2025-04-13
C00214,Applied,2024-01-21
C00214,Rejected,2024-01-22
C00215,Applied,2024-06-10
C00215,Rejected,2024-06-14
C00216,Applied,2025-03-24
C00216,HR Interview,2025-03-28
C00216,Tech Interview,2025-04-05
C00216,Offer,2025-04-15
C00216,Rejected,2025-04-16
C00217,Applied,2025-06-30
C00217,HR Interview,2025-07-07
C00217,Rejected,2025-07-10
C00218,Applied,2025-01-25
C00218,Rejected,2025-01-26
C00219,Applied,2025-10-15
C00219,Rejected,2025-10-17
C00220,Applied,2025-05-06
C00220,Rejected,2025-05-07
C00221,Applied,2025-04-24
C00221,HR Interview,2025-04-29
C00221,Tech Interview,2025-05-09
C00221,Rejected,2025-05-10
C00222,Applied,2024-01-09
C00222,HR Interview,2024-01-15
C00222,Tech Interview,2024-01-20
C00222,Offer,2024-02-01
C00222,Rejected,2024-02-02
C00223,Applied,2024-05-03
C00223,Rejected,2024-05-05
C00224,Applied,2025-05-23
C00224,Rejected,2025-05-27
C00225,Applied,2025-10-03
C00225,HR Interview,2025-10-05
C00225,Tech Interview,2025-10-10
C00225,Offer,2025-10-17
C00225,Rejected,2025-10-20
C00226,Applied,2025-10-26
C00226,Rejected,2025-10-27
C00227,Applied,2024-10-27
C00227,Rejected,2024-10-28
C00228,Applied,2024-10-27
C00228,HR Interview,2024-11-07
C00228,Tech Interview,2024-11-17
C00228,Rejected,2024-11-21
C00229,Applied,2025-08-18
C00229,HR Interview,2025-08-21
C00229,Tech Interview,2025-08-31
C00229,Offer,2025-09-09
C00229,Rejected,2025-09-12
C00230,Applied,2024-01-19
C00230,HR Interview,2024-01-26
C00230,Tech Interview,2024-02-05
C00230,Rejected,2024-02-11
C00231,Applied,2025-08-24
C00231,Rejected,2025-08-29
C00232,Applied,2025-07-11
C00232,Rejected,2025-07-12
C00233,Applied,2024-09-12
C00233,Rejected,2024-09-16
C00234,Applied,2025-05-04
C00234,HR Interview,2025-05-11
C00234,Tech Interview,2025-05-21
C00234,Offer,2025-06-01
C00234,Rejected,2025-06-02
C00235,Applied,2024-10-01
C00235,Rejected,2024-10-03
C00236,Applied,2025-06-21
C00236,HR Interview,2025-06-26
C00236,Tech Interview,2025-07-04
C00236,Offer,2025-07-05
C00236,Rejected,2025-07-06
C00237,Applied,2025-06-26
C00237,HR Interview,2025-07-03
C00237,Rejected,2025-07-08
C00238,Applied,2025-09-18
C00238,HR Interview,2025-09-25
C00238,Rejected,2025-09-30
C00239,Applied,2025-01-29
C00239,HR Interview,2025-02-06
C00239,Rejected,2025-02-13
C00240,Applied,2024-11-14
C00240,HR Interview,2024-11-19
C00240,Tech Interview,2024-11-28
C00240,Rejected,2024-11-29
C00241,Applied,2025-09-18
C00241,Rejected,2025-09-19
C00242,Applied,2025-03-03
C00242,Rejected,2025-03-05
C00243,Applied,2025-01-14
C00243,Rejected,2025-01-15
C00244,Applied,2024-12-11
C00244,HR Interview,2024-12-14
C00244,Tech Interview,2024-12-24
C00244,Offer,2024-12-27
C00244,Rejected,2024-12-28
C00245,Applied,2024-01-03
C00245,Rejected,2024-01-04
C00246,Applied,2025-07-24
C00246,HR Interview,2025-08-02
C00246,Rejected,2025-08-08
C00247,Applied,2024-04-09
C00247,Rejected,2024-04-13
C00248,Applied,2024-10-16
C00248,Rejected,2024-10-17
C00249,Applied,2025-04-28
C00249,HR Interview,2025-05-03
C00249,Tech Interview,2025-05-11
C00249,Offer,2025-05-17
C00249,Rejected,2025-05-21
C00250,Applied,2025-09-11
C00250,HR Interview,2025-09-13
C00250,Tech Interview,2025-09-27
C00250,Offer,2025-10-10
C00250,Rejected,2025-10-16
C00251,Applied,2025-06-05
C00251,Rejected,2025-06-09
C00252,Applied,2025-06-19
C00252,Rejected,2025-06-22
C00253,Applied,2025-07-26
C00253,HR Interview,2025-08-02
C00253,Tech Interview,2025-08-10
C00253,Offer,2025-08-23
C00253,Rejected,2025-08-28
C00254,Applied,2025-10-06
C00254,HR Interview,2025-10-13
C00254,Rejected,2025-10-17
C00255,Applied,2025-02-11
C00255,HR Interview,2025-02-18
C00255,Tech Interview,2025-03-02
C00255,Rejected,2025-03-04
C00256,Applied,2024-06-15
C00256,Rejected,2024-06-19
C00257,Applied,2025-01-06
C00257,Rejected,2025-01-07
C00258,Applied,2025-04-20
C00258,Rejected,2025-04-21
C00259,Applied,2024-10-14
C00259,HR Interview,2024-10-17
C00259,Tech Interview,2024-10-23
C00259,Offer,2024-11-06
C00259,Rejected,2024-11-07
C00260,Applied,2025-05-22
C00260,Rejected,2025-05-24
C00261,Applied,2024-12-30
C00261,Rejected,2025-01-02
C00262,Applied,2025-09-19
C00262,HR Interview,2025-09-22
C00262,Tech Interview,2025-10-02
C00262,Offer,2025-10-08
C00262,Rejected,2025-10-09
C00263,Applied,2024-05-21
C00263,Rejected,2024-05-24
C00264,Applied,2025-08-30
C00264,HR Interview,2025-09-07
C00264,Tech Interview,2025-09-14
C00264,Rejected,2025-09-16
C00265,Applied,2025-01-23
C00265,HR Interview,2025-01-31
C00265,Tech Interview,2025-02-08
C00265,Rejected,2025-02-11
C00266,Applied,2024-09-07
C00266,HR Interview,2024-09-09
C00266,Tech Interview,2024-09-17
C00266,Rejected,2024-09-18
C00267,Applied,2025-01-27
C00267,HR Interview,2025-01-29
C00267,Tech Interview,2025-02-12
C00267,Offer,2025-02-19
C00267,Rejected,2025-02-21
